iter,n,p,d,m,f0,f1,f3,q,r,b
42,43,14,2105232344559280542385782795119267506879315483776327352320000000,132629637707234674170304316092513852933396875477908623196160000000,265709136933301657072148078768157133426612839896473141248000000000,6179282254262829234236001831817607754107275346429607936000000000,23533301830322697798070790930687193659967005022739239696904599609375,9419588158802421600,49616883678631826446832168415113276636637334048777885235065239609375,1
43,44,14,187229263886360955879413322212074613345728406951193760235520000000,11795443624840740220403039299360700640780889637925206894837760000000,23382404050130545822349030931597827741541929910889636429824000000000,531418273866603314144296157536314266853225679792946282496000000000,2141530466559365499624441974692534623056997457069270812418318564453125,9419588158802421600,4412574709916167397605856334611011534806161350570299001275621604453125,0
44,45,14,15944756948133160803244076197126251707570874131912104618229760000000,1004519687732389130604376800418953857576965070310462590948474880000000,2104416364511749124011412783843804496738773691980067278684160000000000,46764808100261091644698061863195655483083859821779272859648000000000,199162333390020991465073103646405719944300763507442185554903626494140625,9419588158802421600,414742082038775550172852156397676445220015253354684704351097910014140625,1
45,46,14,1481792933432245563936664919604558309164462531693868688500326400000000,93352954806231470528009889935087173477361139496713727375520563200000000,193606305535080919409049976113630013699967179662166189638942720000000000,4208832729023498248022825567687608993477547383960134557368320000000000,18920421672051994189181944846408543394708572533207007627715844516943359375,9419588158802421600,38570078414906486169865801737402940078339356405635690231346587249743359375,0
46,47,15,132116117146743093634150347035931755449653005531875784784661708800000000,8983895965978530367122223598443359370576404376167553365356996198400000000,18198992720297606424450697754681221287796914888243621826060615680000000000,387212611070161838818099952227260027399934359324332379277885440000000000,1835280902189043436350648650101628709286731535721079739888436918143505859375,442720643463713815200,3908677671910835549249555335255147640661346400938195143546751301503505859375,1
47,48,15,12806127622864012640428232573604845039667316879320656149036086067200000000,870816678354752859549119815005129462697377547793804618134453852569600000000,1747103301148570216747266984449397243628503829271387695301819105280000000000,36397985440595212848901395509362442575593829776487243652121231360000000000,181692809316715300198714216360061242219386422036386894248955254896207080078125,442720643463713815200,378857299445324205568297329485021492928889835368843086611612436756047080078125,0
48,49,15,1192990266354350000632208931556702681232468590638295746655343031091200000000,84702308911158850044886834140525890367505269935318998012529355207475200000000,171216123512559881241232164476040929875593375268595994139578272317440000000000,3494206602297140433494533968898794487257007658542775390603638210560000000000,18350973740988245320070135852366185464158028625675076319144480744516915087890625,3099044504245996706400,37816582026303477339247835177857069353477852325662400447730487094258995087890625,1
49,50,15,120407252705023440495451009261455657248038929541095758562827255257497600000000,8548914942056664275177021657563351664610763997417798857960735123282329600000000,17121612351255988124123216447604092987559337526859599413957827231744000000000000,342432247025119762482464328952081859751186750537191988279156544634880000000000,1890150295321789267967223992793717102808276948444532860871881516685242254052734375,3099044504245996706400,3819007212391637133980117820552883900471705992568937985971227241089118094052734375,0
50,51,15,11698293023477224287062636597193483865052706203572383868003568981114880000000000,830578804666882924381447198400737354418742140453639254628253397659156480000000000,1746404459828110788660568077655617484731052427739679140223698377637888000000000000,34243224702511976248246432895208185975118675053719198827915654463488000000000000,198465781008787873136558519243340295794869079586675950391547559251950436675537109375,3099044504245996706400,404526553420064142599360717075688325115138894226034924650522679747165028675537109375,1
51,52,15,1227469113097188853528635365808943540210494707818102353364279690537205760000000000,87150307029900408600533110972434991354945124255085267088863858028141608960000000000,181626063822123522020699080076184218412029452484926630583264631274340352000000000000,3492808919656221577321136155311234969462104855479358280447396755275776000000000000,21235838567940302425611761559037411650050991515774326691895588839958696724282470703125,3099044504245996706400,42492883846190502945149104607380987737894965367488633478135762820353413908282470703125,0
